t1,t2
"Stress_Shoot_length, Lost_Chlorophyll_A",72.5
"Stress_Shoot_length, Lost_Chlorophyll_B",69.6
"Stress_Shoot_length, Seed_volume",64.3
"Stress_Shoot_length, Seed_density",51.4
"Stress_Root_Na+, Stress_Root_K+",96.7
"Stress_Root_Na+, Stress_Shoot_Na+",54.6
"Stress_Root_Na+, Stress_Shoot_K+",59.7
"Stress_Root_Na+, SES",55.9
"Stress_Root_Na+, Stress_Chlorophyll_A",51.9
"Stress_Root_Na+, Stress_Chlorophyll_B",51.9
"Stress_Root_Na+, Width_WO_husk",54.4
"Stress_Root_Na+, Length_WO_husk",52.8
"Stress_Root_Na+, Height_WO_husk",57
"Stress_Root_Na+, Seed_Weight",54.3
"Stress_Root_Na+, Root_thickness",51.1
"Stress_Root_Na+, Shoot_thickness",50.6
"Stress_Root_Na+, Stress_Root_thickness",55.8
"Stress_Root_Na+, Stress_Shoot_thickness",56.3
"Stress_Root_Na+, Lost_Root_weight",52.6
"Stress_Root_Na+, Lost_Shoot_weight",50.6
"Stress_Root_Na+, Lost_Root_length",51.4
"Stress_Root_Na+, Lost_Shoot_length",55.1
"Stress_Root_Na+, Lost_Root_thickness",55.2
"Stress_Root_Na+, Lost_Shoot_thickness",54.5
"Stress_Root_Na+, Lost_Chlorophyll_A",52.9
"Stress_Root_Na+, Lost_Chlorophyll_B",53.4
"Stress_Root_Na+, Seed_volume",53.8
"Stress_Root_Na+, Seed_density",51.1
"Stress_Root_K+, Stress_Shoot_Na+",58.7
"Stress_Root_K+, Stress_Shoot_K+",58.8
"Stress_Root_K+, SES",55.5
"Stress_Root_K+, Stress_Chlorophyll_A",54.1
"Stress_Root_K+, Stress_Chlorophyll_B",54.1
"Stress_Root_K+, Width_WO_husk",55.7
"Stress_Root_K+, Length_WO_husk",54
"Stress_Root_K+, Height_WO_husk",57.5
"Stress_Root_K+, Seed_Weight",54.2
"Stress_Root_K+, Root_thickness",54.5
"Stress_Root_K+, Shoot_thickness",50.9
"Stress_Root_K+, Stress_Root_thickness",54.9
"Stress_Root_K+, Stress_Shoot_thickness",56.6
"Stress_Root_K+, Lost_Root_weight",54.9
"Stress_Root_K+, Lost_Shoot_weight",51.6
"Stress_Root_K+, Lost_Root_length",52.1
"Stress_Root_K+, Lost_Shoot_length",53.9
"Stress_Root_K+, Lost_Root_thickness",58.3
"Stress_Root_K+, Lost_Shoot_thickness",56.5
"Stress_Root_K+, Lost_Chlorophyll_A",53.8
"Stress_Root_K+, Lost_Chlorophyll_B",54.3
"Stress_Root_K+, Seed_volume",54
"Stress_Root_K+, Seed_density",50
"Stress_Shoot_Na+, Stress_Shoot_K+",55.9
"Stress_Shoot_Na+, SES",61
"Stress_Shoot_Na+, Stress_Chlorophyll_A",64
"Stress_Shoot_Na+, Stress_Chlorophyll_B",62.6
"Stress_Shoot_Na+, Width_WO_husk",53.9
"Stress_Shoot_Na+, Length_WO_husk",53.3
"Stress_Shoot_Na+, Height_WO_husk",53.9
"Stress_Shoot_Na+, Seed_Weight",57.8
"Stress_Shoot_Na+, Root_thickness",56.6
"Stress_Shoot_Na+, Shoot_thickness",50.2
"Stress_Shoot_Na+, Stress_Root_thickness",58.6
"Stress_Shoot_Na+, Stress_Shoot_thickness",59
"Stress_Shoot_Na+, Lost_Root_weight",51.5
"Stress_Shoot_Na+, Lost_Shoot_weight",52.6
"Stress_Shoot_Na+, Lost_Root_length",52.1
"Stress_Shoot_Na+, Lost_Shoot_length",50.5
"Stress_Shoot_Na+, Lost_Root_thickness",51
"Stress_Shoot_Na+, Lost_Shoot_thickness",57.2
"Stress_Shoot_Na+, Lost_Chlorophyll_A",62.4
"Stress_Shoot_Na+, Lost_Chlorophyll_B",60.7
"Stress_Shoot_Na+, Seed_volume",56.1
"Stress_Shoot_Na+, Seed_density",53.8
"Stress_Shoot_K+, SES",52.6
"Stress_Shoot_K+, Stress_Chlorophyll_A",50.6
"Stress_Shoot_K+, Stress_Chlorophyll_B",50.8
"Stress_Shoot_K+, Width_WO_husk",52.3
