Serial no.,Accession No.,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight
128,IRGC 38456,238,681,175,827
128,IRGC 38456,242,756,178,828
128,IRGC 38456,242,675,185,828
128,IRGC 38456,242,673,181,826
128,IRGC 38456,258,628,168,824
129,IRGC 38522,276,608,152,1083
129,IRGC 38522,298,652,196,1084
129,IRGC 38522,318,624,196,1082
129,IRGC 38522,303,679,216,1082
129,IRGC 38522,301,669,199,1083
130,IRGC 38535,296,585,210,900
130,IRGC 38535,299,556,212,903
130,IRGC 38535,292,550,208,903
130,IRGC 38535,296,563,194,900
130,IRGC 38535,272,587,198,905
131,IRGC 39559,210,613,164,570
131,IRGC 39559,224,558,170,571
131,IRGC 39559,197,573,174,570
131,IRGC 39559,225,540,154,575
131,IRGC 39559,227,515,167,578
132,IRGC 43826,237,552,176,601
132,IRGC 43826,237,640,168,602
132,IRGC 43826,230,571,171,604
132,IRGC 43826,230,570,157,608
132,IRGC 43826,229,605,165,600
133,IRGC 43860,282,518,189,800
133,IRGC 43860,307,574,183,802
133,IRGC 43860,296,499,193,804
133,IRGC 43860,274,536,175,800
133,IRGC 43860,275,518,166,807
134,IRGC 43862,256,568,178,707
134,IRGC 43862,256,575,176,708
134,IRGC 43862,251,586,199,708
134,IRGC 43862,245,570,190,706
134,IRGC 43862,258,572,159,702
135,IRGC 43872,286,512,199,821
135,IRGC 43872,281,561,195,823
135,IRGC 43872,277,554,174,830
135,IRGC 43872,292,557,187,824
135,IRGC 43872,296,540,184,828
136,IRGC 43915,275,614,186,768
136,IRGC 43915,267,515,178,767
136,IRGC 43915,253,583,155,764
136,IRGC 43915,281,532,182,767
136,IRGC 43915,272,574,170,769
137,IRGC 43999,259,598,180,596
137,IRGC 43999,221,585,153,594
137,IRGC 43999,228,578,148,591
137,IRGC 43999,231,542,162,590
137,IRGC 43999,229,567,158,594
138,IRGC 49094,299,560,207,871
138,IRGC 49094,287,550,196,867
138,IRGC 49094,310,634,208,867
138,IRGC 49094,236,547,173,863
138,IRGC 49094,292,554,215,862
139,IRGC 49127,262,594,197,825
139,IRGC 49127,279,568,206,816
139,IRGC 49127,272,590,172,819
139,IRGC 49127,270,597,195,825
139,IRGC 49127,255,581,203,820
140,IRGC 49182,227,728,179,755
140,IRGC 49182,223,652,173,760
140,IRGC 49182,225,684,176,754
140,IRGC 49182,221,642,171,758
140,IRGC 49182,218,668,137,763
141,IRGC 49242,293,492,227,765
141,IRGC 49242,285,493,227,763
141,IRGC 49242,289,500,205,762
141,IRGC 49242,300,464,206,760
141,IRGC 49242,297,464,212,764
142,IRGC 49257,241,645,199,700
142,IRGC 49257,247,558,158,698
142,IRGC 49257,228,606,182,697
142,IRGC 49257,232,569,182,702
142,IRGC 49257,244,620,179,703
143,IRGC 49333,274,596,178,861
143,IRGC 49333,295,579,189,863
143,IRGC 49333,304,617,199,865
143,IRGC 49333,289,587,178,863
143,IRGC 49333,279,616,189,860
144,IRGC 49375,222,591,172,663
144,IRGC 49375,223,612,173,663
144,IRGC 49375,221,598,170,665
144,IRGC 49375,234,609,175,661
144,IRGC 49375,240,618,154,665
145,IRGC 53479,264,709,193,885
145,IRGC 53479,265,753,189,885
145,IRGC 53479,248,686,177,885
145,IRGC 53479,256,728,190,881
145,IRGC 53479,257,742,188,885
146,IRGC 53483,376,613,187,851
146,IRGC 53483,293,532,204,851
146,IRGC 53483,287,616,189,853
146,IRGC 53483,285,567,195,854
146,IRGC 53483,267,575,177,855
147,IRGC 53484,317,506,187,964
147,IRGC 53484,329,494,190,965
147,IRGC 53484,323,548,215,962
147,IRGC 53484,328,547,210,966
147,IRGC 53484,320,513,208,965
148,IRGC 53500,265,566,194,827
148,IRGC 53500,269,597,191,827
148,IRGC 53500,251,580,191,828
148,IRGC 53500,253,586,198,828
148,IRGC 53500,269,554,196,829
149,IRGC 53529,268,602,189,773
149,IRGC 53529,277,497,189,774
149,IRGC 53529,284,561,218,771
149,IRGC 53529,258,502,198,771
149,IRGC 53529,280,518,184,771
150,IRGC 53541,275,592,201,838
150,IRGC 53541,247,602,171,838
150,IRGC 53541,241,612,194,840
150,IRGC 53541,262,585,178,838
150,IRGC 53541,261,596,181,839
151,IRGC 58736,257,628,190,779
151,IRGC 58736,239,615,179,780
151,IRGC 58736,266,619,177,774
151,IRGC 58736,231,625,189,772
151,IRGC 58736,254,596,176,772
152,IRGC 58824,238,717,178,823
152,IRGC 58824,241,703,170,820
152,IRGC 58824,228,678,158,825
152,IRGC 58824,223,729,177,824
152,IRGC 58824,227,707,174,827
153,IRGC 63517,248,524,193,714
153,IRGC 63517,254,496,214,712
153,IRGC 63517,249,482,190,717
153,IRGC 63517,285,539,212,720
153,IRGC 63517,258,507,202,715
154,IRGC 64778,261,614,182,700
