accession_name,Root_thickness,Stress_Root_Na+,Shoot_weight,Shoot_length,Stress_Shoot_Na+,Lost_Shoot_weight,Root_length,Stress_Chlorophyll_A,Root_Na+,SES,Stress_Shoot_weight,Stress_Chlorophyll_B,Stress_Shoot_thickness,Shoot_K+,Stress_Root_thickness,Lost_Chlorophyll_A,Stress_Root_length,Lost_Chlorophyll_B,Root_weight,Lost_Root_weight,Lost_Root_thickness,Chlorophyll_B,Lost_Shoot_thickness,Stress_Shoot_K+,Shoot_Na+,Stress_Root_weight,Chlorophyll_A,Stress_Shoot_length,Root_K+,Shoot_thickness,Lost_Root_length,Stress_Root_K+,Lost_Shoot_length
IRIS_313-11067,-0.035967865,-0.584308874,-1.102772308,0.450852949,0.818389902,-1.911631285,-1.215917535,-0.507477281,0.705785566,-0.755345617,0.700629101,-0.562876226,0.209366237,-0.904383573,-0.398085894,-0.017915579,1.048702733,0.441083702,-0.810847767,-1.191630065,0.226733411,-0.067685659,-1.975226809,-0.469102788,0.102737506,0.184783073,-1.123127639,1.776730723,0.109778623,-1.65329313,-2.118891393,-0.175783432,-1.028762273
IRIS_313-11068,-0.945602106,0.136494234,-1.286544371,-0.099630948,0.810331663,-0.801953285,-0.474375559,-0.380282761,0.428065927,0.870836052,-0.894240936,-0.394108843,-1.168507577,0.50311995,-0.990426694,-0.752970172,-1.071705317,-0.838189531,-0.936126932,0.048767319,-0.259399973,-1.772436886,-0.708289138,-0.509683997,0.134323259,-1.229346709,-1.743406134,-0.124906463,0.093340401,-1.658332103,0.848789156,-0.777987968,-0.008381877
IRIS_313-11069,-0.932105475,0.453584769,0.31250795,0.178418423,1.805145183,0.371867276,0.935381368,-0.684331661,1.131862884,0.870836052,-0.032728546,-0.650813369,-0.289730829,-0.408940596,-0.265121923,1.179296765,2.037708843,1.499439216,-0.281452355,-1.130626916,-0.721382424,1.631059818,0.544236355,-0.404009893,0.863847775,0.740391572,1.363027544,0.685302618,-0.562137726,0.326110524,-1.162008135,0.718321074,-0.465773447
IRIS_313-11070,-1.996987157,0.080773809,-1.34269154,-1.641154483,0.038169807,-0.212331391,-0.74026311,-2.308581012,0.653849049,1.683926841,-2.139524774,-2.314206406,-2.282818513,-1.938314735,-1.2837831,3.06623486,-0.157457488,2.590216218,-1.894210581,-1.015398743,-1.024996131,1.670517053,0.986125248,1.551520784,-1.841947536,-0.999799692,2.073608099,-1.477720953,-0.804890395,-0.730290857,-0.635417404,0.124756883,-0.770069385
IRIS_313-11111,0.010522393,-0.267016615,-0.527113638,0.100795307,-0.409918694,-1.185574986,2.103948911,0.47166827,-1.841058533,0.057745233,0.34973134,0.689792978,0.435720362,1.810760126,0.971765023,-0.699068188,1.284581006,-0.932961993,1.231453657,-0.127464004,-0.728497672,-0.597725974,-1.328743801,0.103087706,0.320529983,1.62934358,-0.463477366,0.217337808,-0.911278824,-0.916291075,0.848789151,0.11847894,-0.117455187
IRIS_313-11112,0.829618846,-0.957532618,0.063126616,0.169232871,-0.083794975,-0.288610979,0.122697541,0.282437078,-0.252412053,-1.297406201,0.249474865,0.033123305,0.146258831,-0.69942042,0.582692708,-1.024137497,-0.261458679,-0.699321839,0.766299211,0.685911332,0.536542984,-1.253816023,-0.245566102,0.929491456,-0.294273163,0.240346025,-1.215829977,0.525022522,-0.205329769,-0.015708535,0.513969785,-0.225485142,-0.331807722
IRIS_313-11113,0.867838355,-0.899178481,0.532305688,1.470214249,0.061832898,-0.316421085,0.426861901,1.267240235,-0.766312969,-1.297406201,1.136689753,1.764004063,1.040703449,0.83814828,2.103423158,-1.390806521,0.266527388,-2.035301186,1.029154849,-1.591539607,-1.445495291,-0.484482369,-1.056829004,-1.129682509,-0.047327703,2.837761234,-0.456829374,0.819709012,-0.383577794,0.020363655,-0.029836967,-0.260169219,0.847933918
IRIS_313-11114,1.357383086,1.898959943,1.221844475,-1.365319494,0.127653325,1.137920501,0.122697541,0.374891981,-0.070963916,0.057745233,0.631934758,0.229184245,0.873349203,0.871013358,0.512399866,0.158096364,-4.14E-05,0.300686789,1.365830754,1.309499089,1.239671502,1.049704,2.620014649,-0.694678002,-0.677810056,0.351469686,1.334007826,0.136336744,0.535679578,3.002086293,0.057647293,2.133769168,-1.89713273
IRIS_313-11115,-0.329156774,-1.871321465,-0.144867712,0.77944501,-0.767317738,-1.25626164,-0.25571485,1.403408246,-0.454518391,-1.026375908,0.916506178,1.806484203,0.689709631,0.047275094,0.533490379,-0.562730032,-0.157457488,-0.90600993,-0.3709208,-0.77816427,-0.707982252,0.878941334,-1.393454917,0.847271339,-0.255730915,0.268127185,1.164541757,1.192848471,-0.981111509,-0.722411562,-0.173949196,-1.324887157,-0.241331376
IRIS_313-11116,0.368480556,1.245574604,0.361328815,-0.693685761,-0.057918042,-1.354656682,1.998313934,1.353863366,-0.655539991,-1.839466799,2.056967029,1.059345697,2.346353768,0.183152419,1.418226674,-1.426498399,2.171246325,-1.30319671,1.519072138,-0.913726826,-0.812190688,-0.447145591,-1.089451381,0.043681934,1.94798309,2.851651091,-0.427592295,0.299575523,-0.567887554,0.922032541,-0.289637661,1.184218306,-1.160552944
IRIS_313-11123,0.862977085,-0.493900953,0.561314832,0.857449441,0.067805762,0.674658187,0.702792765,0.201124669,-0.587383309,-1.297406201,0.039678908,-0.142736457,0.036317273,-0.159820372,0.4272474,-1.554514028,-0.569444277,-1.029837135,1.173756664,1.458617899,0.677438583,-1.666839664,0.252647089,-0.479418562,-0.41223563,-0.079161908,-1.694943353,0.163200512,-0.069958489,0.327633309,1.233851631,-1.77692184,0.833136456
IRIS_313-11124,-0.068763824,0.026197788,-0.461191135,-0.477818107,-1.704716017,-0.417551439,0.426861901,-0.126614334,1.200035279,0.057745233,-0.342781004,-0.14766412,-0.285830952,0.394754355,-0.984353267,0.212459491,0.706085875,0.138816002,0.131783754,0.53679252,0.524553727,0.244928116,-0.190241331,0.812853069,0.953461664,-0.426626909,0.263387502,-0.275333836,0.195443756,-0.393604551,-0.490824063,0.243072423,-0.331807722
IRIS_313-11154,0.232613739,0.040647705,0.195313522,-0.164782608,0.641167146,-0.663288725,1.098302725,0.3294784,0.420185681,-0.755345617,0.893926668,0.356404156,1.139282019,-1.668655284,1.238171285,0.088205663,0.933098697,0.076955563,0.766299211,-0.778164272,-0.753624802,0.819953632,-0.737569846,0.015847181,-0.027496719,1.740462452,1.049617633,0.285782795,0.260381273,0.362919739,-0.106628995,1.145854863,-0.502178227
IRIS_313-11163,-1.405924608,0.488435417,-0.848082182,-1.271377655,-0.069855711,-0.61154484,1.258204365,-0.461565165,0.817145939,-0.213285047,-0.598992834,-0.513283472,-0.316097239,-0.193319967,-0.170131421,-0.027055745,-0.569444277,-0.056076372,-0.497518549,-0.195245281,-1.263133991,-1.017951499,-0.050610134,0.060310922,0.150206475,-0.482267483,-1.046912915,-0.896784656,0.466451636,-0.265466374,1.7125601,0.118635087,-0.770069385
