accession_name,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B
IRGC 53529,Stress,57,320,6.75,42.5,0.082600398,0.02173913,0.077214424,0.004557676,8,0.012937062,0.01249976
IRGC 8806,Stress,56,208,7,37.5,0.082600398,0.017094017,0.13126452,0.021924935,9,0.004127894,0.00459348
IRGC 6534,Stress,98,798,8.25,53,0.082600398,0.017094017,0.086119869,0.031664189,3,0.018753166,0.01744068
IRGC 29416,Stress,59,351,9.5,47.5,0.082600398,0.012448904,0.248346907,0.01915216,8,0.009819688,0.0097263
IRGC 27567,Stress,48,176,7.5,35.5,0.082144042,0.010508279,0.11043257,0.037606838,9,0.000800396,0.00095748
IRGC 37967,Stress,88,715,8.5,47,0.082040325,0.014725009,0.093281227,0.03841705,6,0.020728492,0.02054542
IRGC 37754,Stress,100,724,10.5,48.5,0.082040325,0.013563731,0.15856819,0.038267827,5,0.02199485,0.02207456
IRGC 26504,Stress,79,457,8.5,53,0.081906975,0.018819345,0.074415361,0.042129612,7,0.017311972,0.01713364
IRGC 66815,Stress,43,165,8,36,0.081906975,0.016164994,0.084210844,0.039458126,8,0.004666838,0.00476114
IRGC 38344,Stress,92,503,8.5,44.5,0.081164952,0.013340766,0.116208143,0.028523507,6,0.019048302,0.01433594
IRGC 38251,Stress,,,,,0.080712745,0.016675957,0.137250775,0.034804361,,,
IRGC 29072,Stress,69,205,7,31,0.080712745,0.009708287,0.100997529,0.021573971,9,0.00392579,0.00433694
IRGC 39559,Stress,73,449,8,48,0.079959066,0.026879723,0.093650784,0.03393562,7,0.017025658,0.01600446
IRGC 29260,Stress,,,,,0.079959066,0.017589496,0.205724688,0.026350461,,,
IRGC 26458,Stress,104,563,8.5,49,0.079959066,0.017589496,0.144289276,0.034207091,7,0.017782746,0.01749926
IRGC 25838,Stress,84,532,11,43,0.079959066,0.017589496,0.105993685,0.03897131,7,0.015988672,0.0107868
IRGC 37468,Stress,111,681,11.75,46,0.079959066,0.011396011,0.244259005,0.009369857,6,0.01855828,0.0179073
IRGC 38361,Stress,80,335,9.5,42,0.0786384,0.024804905,0.133346895,0.022056796,,,
IRGC 31618,Stress,106,485,13,42.5,0.0786384,0.022482349,0.130120668,0.037094548,6,0.02060338,0.02044644
IRGC 79342,Stress,67,370,6.5,43.5,0.0786384,0.020159792,0.142416196,0.037829803,8,0.009874224,0.01007374
IRGC 8794,Stress,80,358,11,31,0.0786384,0.012030844,0.176678836,0.03583963,7,0.015046322,0.01447936
IRGC 28947,Control,,,,,0.078451709,0.131735414,0.007442748,0.003567447,,,
IRGC 77226,Control,118,925,10,57.5,0.078451709,0.066703828,0.010878299,0.002173913,,0.019382736,0.01893144
IRGC 34034,Stress,76,572,7.5,45.5,0.078451709,0.01477146,0.214238301,0.021924935,6,,
IRGC 31665,Stress,111,600,10,44,0.078451709,0.01477146,0.164951875,0.014616623,7,0.024895684,0.03074238
IRGC 58824,Stress,75,380,14,44,0.078451709,0.012448904,0.206967723,0.012657934,8,0.013973246,0.01344916
IRGC 43860,Stress,60,265,6.5,35,0.078451709,0.010126347,0.122007533,0.029728725,8,0.008993628,0.01134634
IRGC 117318,Stress,104,540,6.5,37,0.078451709,0.005481234,0.137072685,0.032807772,8,0.017865352,0.0176144
IRGC 29031,Stress,75,467,9,41.5,0.077846001,0.015198811,0.151192658,0.04515858,5,0.012697264,0.0071609
IRGC 6046,Stress,57,366,10,41,0.077193274,0.017589496,0.165117823,0.037986705,6,0.012597816,0.01241088
IRGC 26458,Stress,75,415,14.2,42,0.077193274,0.011396011,0.138700042,0.028050491,7,0.019831054,0.01992528
IRGC 77258,Stress,106,654,12.5,47,0.077193274,0.00984764,0.192231513,0.034044186,6,0.020989944,0.02075146
IRGC 63517,Stress,,,,,0.076564056,0.025966184,0.122332213,0.043138966,7,0.015974236,0.0159277
IRGC 8742,Stress,50,272,7,36.5,0.076564056,0.013192122,0.13414842,0.033545251,9,,
IRGC 43860,Stress,103,529,12,38.5,0.076564056,0.010869565,0.144053189,0.034044186,7,0.013416658,0.01264924
IRGC 77293,Stress,110,629,7.5,36.5,0.076564056,0.009708287,0.149923249,0.032980305,5,0.023676644,0.02512476
IRGC 38344,Stress,46,245,5.75,43.75,0.074527049,0.016127834,0.18383302,0.032137303,9,0.003615416,0.0040804
IRGC 66831,Stress,87,724,10,46,0.074489711,0.017837235,0.097079323,0.035060508,4,0.020000276,0.01946876
IRGC 8361,Stress,92,344,11.75,38,0.074489711,0.0143534,0.139097245,0.045261984,7,0.0113483,0.01085346
IRGC 26335,Stress,114,900,11,50.5,0.074427481,0.022234609,0.076037172,0.043403939,4,0.021609088,0.0212807
IRGC 25919,Stress,90,440,12,41.5,0.074427481,0.020686238,0.061530752,0.038909655,7,0.014747176,0.01421878
IRGC 37086,Stress,90,538,10.25,42,0.074427481,0.014492754,0.135435839,0.032431337,5,0.02244397,0.0228664
IRGC 29367,Stress,63,605,10,55,0.074427481,0.00984764,0.227555592,0.020748173,4,0.01589163,0.01484296
IRGC 76237,Stress,67,507,9.5,41,0.07430302,0.017094017,0.190092931,0.024897808,6,0.019065946,0.01981418
