uid,accession_name,Treatment,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B
36_2,IRGC 26504,Control,274,540,176,758,119,1074,8,67,0.028595782,0.219992568,0.004341957,0.002480491,,0.021229742,0.02129686
36_3,IRGC 26504,Control,286,532,178,761,119,1148,7,66.5,,,,,,0.02079586,0.02053532
36_4,IRGC 26504,Control,279,549,182,762,,,,,,,,,,,
36_5,IRGC 26504,Control,269,557,180,763,,,,,,,,,,,
37_1,IRGC 26578,Control,224,621,162,680,90,802,6.5,53,,,,,,0.016317492,0.01558834
37_2,IRGC 26578,Control,221,616,163,685,87,412,6.5,58,,,,,,0.016912576,0.0163216
37_3,IRGC 26578,Control,229,630,175,679,87,721,8.75,57.5,0.042997013,0.131735414,0.004726119,0.006354515,,0.017369716,0.0166852
37_4,IRGC 26578,Control,235,625,165,676,,,,,,,,,,,
37_5,IRGC 26578,Control,244,624,167,677,,,,,,,,,,,
38_1,IRGC 26624,Control,204,565,157,486,,,,,0.051671922,0.145670754,0.008052942,0.005657748,,,
38_2,IRGC 26624,Control,191,557,144,480,,,,,,,,,,,
38_3,IRGC 26624,Control,196,602,168,481,,,,,,,,,,,
38_4,IRGC 26624,Control,194,526,156,476,,,,,,,,,,,
38_5,IRGC 26624,Control,196,569,155,478,,,,,,,,,,,
39_1,IRGC 26629,Control,232,539,156,645,70,919,5.5,56,,,,,,0.0129924,0.0127159
39_2,IRGC 26629,Control,241,604,164,648,41,518,6.5,45.5,0.017433713,0.003418803,0.004189676,0.003177258,,0.014638104,0.01370368
39_3,IRGC 26629,Control,250,571,165,653,75,732,6.5,53,0.02615057,0.154960981,0.00530384,0.001783724,,0.015802608,0.01551562
39_4,IRGC 26629,Control,231,571,163,649,,,,,,,,,,,
39_5,IRGC 26629,Control,227,570,172,647,,,,,,,,,,,
40_1,IRGC 26638,Control,281,594,195,896,157,1431,8,56,0.013779179,0.187476774,0.002616351,0.123931624,,0.02019436,0.01911526
40_2,IRGC 26638,Control,295,655,195,900,68,1150,6.5,59,0.028966147,0.238573021,0.005825067,0.008909327,,0.01506958,0.01430968
40_3,IRGC 26638,Control,295,623,170,892,105,950,6.5,56.5,0.028966147,0.002954292,0.004734386,0.089093274,,0.017903848,0.02050502
40_4,IRGC 26638,Control,282,598,180,895,,,,,,,,,,,
40_5,IRGC 26638,Control,255,617,172,893,,,,,,,,,,,
41_1,IRGC 26744,Control,233,562,166,657,63,446,5,44.5,0.016511782,0.075994054,0.004612157,0.001551468,,0.019646594,0.01902032
41_2,IRGC 26744,Control,242,609,166,659,60,598,6.5,51.5,0.019839031,0.196767001,0.005388028,0.007515793,,0.02051115,0.0205232
41_3,IRGC 26744,Control,235,588,180,670,125,956,6.5,59,0.017585256,0.000780379,0.004799252,0.010302861,,0.017537334,0.01667914
41_4,IRGC 26744,Control,228,574,178,667,,,,,,,,,,,
41_5,IRGC 26744,Control,244,583,168,668,,,,,,,,,,,
42_1,IRGC 26772,Control,237,550,171,630,46,453,6.5,47.5,0.023384777,0.117800074,0.006436921,0.007515793,,0.012045238,0.0115948
42_2,IRGC 26772,Control,245,532,171,635,173,985,9,56,0.023384777,0.075994054,0.004206349,0.048123374,,0.01804901,0.02103224
42_3,IRGC 26772,Control,230,572,179,628,134,994,9,58.5,0.020417082,0.002954292,0.004351868,0.009606094,,0.020624232,0.02044442
42_4,IRGC 26772,Control,240,513,186,632,,,,,,,,,,,
42_5,IRGC 26772,Control,219,542,160,627,,,,,,,,,,,
43_1,IRGC 26802,Control,238,566,173,680,85,639,7,59,,,,,,0.014864268,0.01380064
43_2,IRGC 26802,Control,250,583,175,681,91,745,5,46.5,0.023761616,0.215347454,0.007874414,0.007748049,,0.015752082,0.01487124
43_3,IRGC 26802,Control,253,609,168,683,64,484,8,36,0.017538583,0.206057228,0.004270473,0.006586771,,0.016004712,0.0151399
43_4,IRGC 26802,Control,247,590,179,688,,,,,,,,,,,
43_5,IRGC 26802,Control,252,587,195,690,,,,,,,,,,,
44_1,IRGC 27516,Control,245,600,193,683,56,656,6,50.5,,,,,,0.018551062,0.01741038
44_2,IRGC 27516,Control,251,567,184,681,,,,,,,,,,0.017903046,0.01724474
44_3,IRGC 27516,Control,222,547,177,677,47,518,4.5,44,,,,,,,
44_4,IRGC 27516,Control,259,574,184,673,,,,,,,,,,,
44_5,IRGC 27516,Control,246,544,175,678,,,,,,,,,,,
45_1,IRGC 27522,Control,256,536,161,688,50,1120,6.7,57.5,0.026402257,0.127090301,0.005795719,0.006354515,,0.017839688,0.01696194
45_2,IRGC 27522,Control,269,572,180,679,84,915,7,51.5,0.018858755,0.187476774,0.004684743,0.007748049,,0.015578048,0.0146955
45_3,IRGC 27522,Control,259,517,172,682,74,835,7,48.5,0.012392727,0.004812337,0.003327899,0.003525641,,0.016042406,0.01506516
45_4,IRGC 27522,Control,256,536,192,686,,,,,,,,,,,
45_5,IRGC 27522,Control,234,571,151,679,,,,,,,,,,,
46_1,IRGC 27526,Control,286,521,180,771,84,1009,8.5,64.5,0.014860604,0.145670754,0.003132821,0.012393162,,0.016818742,0.01607314
46_2,IRGC 27526,Control,284,492,185,767,76,985,7.5,66,0.014030866,0.127090301,0.003700631,0.057413601,,0.021572998,0.0214322
46_3,IRGC 27526,Control,289,507,191,786,114,821,7.5,58,,,,,,0.013836906,0.01334412
46_4,IRGC 27526,Control,303,510,195,781,,,,,,,,,,,
46_5,IRGC 27526,Control,293,562,181,788,,,,,,,,,,,
47_1,IRGC 27536,Control,307,588,191,883,100,887,8.5,46,,,,,,0.017701744,0.01717606
47_2,IRGC 27536,Control,287,571,169,886,27,403,5.5,42,0.019277575,0.136380528,0.005280244,0.080639168,,0.013940364,0.01335624
47_3,IRGC 27536,Control,315,597,200,885,47,335,5,39,,,,,,0.017172424,0.01678216
47_4,IRGC 27536,Control,289,573,200,887,,,,,,,,,,,
47_5,IRGC 27536,Control,304,581,198,873,,,,,,,,,,,
48_1,IRGC 27540,Control,257,644,170,726,72,575,6.5,49.5,0.057832725,0.117800074,0.009069824,0.004960981,,0.013755102,0.0131704
48_2,IRGC 27540,Control,260,558,182,722,118,1240,10,55,0.021498506,0.187476774,0.00508178,0.006586771,,,
48_3,IRGC 27540,Control,275,568,196,722,35,283,6,39,0.041300199,0.071348941,0.004991849,0.002364363,,0.019220732,0.01844058
48_4,IRGC 27540,Control,275,603,189,732,,,,,,,,,,,
48_5,IRGC 27540,Control,278,592,181,750,,,,,,,,,,,
49_1,IRGC 27547,Control,255,581,180,694,56,647,8,54,0.02480916,0.196767001,0.006068149,0.006819026,,0.016590974,0.01602062
49_2,IRGC 27547,Control,256,579,173,711,148,998,9.5,56.5,0.016501411,0.127090301,0.004035637,0.007283538,,0.021618712,0.02143018
49_3,IRGC 27547,Control,262,581,180,688,40,396,6.5,44,0.165200797,0.029542921,0.016544972,0.001012635,,0.014986974,0.01463086
49_4,IRGC 27547,Control,258,609,186,689,,,,,,,,,,,
49_5,IRGC 27547,Control,261,517,176,682,,,,,,,,,,,
50_1,IRGC 27555,Control,251,548,164,667,97,800,9,45,0.018355644,0.187476774,0.005742124,0.005193237,,,
50_2,IRGC 27555,Control,248,800,169,656,,,,,0.026873133,0.206057228,0.010872006,0.084448161,,0.014995796,0.01431372
50_3,IRGC 27555,Control,248,601,174,678,63,754,7.5,53.5,0.033082832,0.145670754,0.007122238,0.005890004,,0.014733542,0.01402284
50_4,IRGC 27555,Control,229,587,170,670,,,,,,,,,,,
50_5,IRGC 27555,Control,241,564,162,664,,,,,,,,,,,
51_1,IRGC 27567,Control,300,578,200,945,136,932,9.5,56.5,0.009136335,0.062058714,0.003063884,0.164251208,,0.014718304,0.01374812
51_2,IRGC 27567,Control,299,568,200,941,81,1032,9.5,61.5,0.026653022,0.192121888,0.004024228,0.105351171,,0.01525805,0.01458642
51_3,IRGC 27567,Control,312,588,186,938,120,1220,8,61,,,,,,0.013653248,0.01278862
51_4,IRGC 27567,Control,282,555,177,936,,,,,,,,,,,
51_5,IRGC 27567,Control,305,575,196,934,,,,,,,,,,,
52_1,IRGC 27568,Control,294,486,168,742,75,930,7,56,,,,,,0.015647822,0.01499042
52_2,IRGC 27568,Control,257,484,174,724,15,125,2.5,31,,,,,,0.008222104,0.00795678
