accession_name,Root_weight,Shoot_weight,Root_length,Shoot_length,Root_Na+,Root_K+,Shoot_Na+,Shoot_K+,Chlorophyll_A,Chlorophyll_B,Stress_Root_weight,Stress_Shoot_weight,Stress_Root_length,Stress_Shoot_length,Stress_Root_Na+,Stress_Root_K+,Stress_Shoot_Na+,Stress_Shoot_K+,SES,Stress_Chlorophyll_A,Stress_Chlorophyll_B,Root_thickness,Shoot_thickness,Stress_Root_thickness,Stress_Shoot_thickness,Lost_Root_weight,Lost_Shoot_weight,Lost_Root_length,Lost_Shoot_length,Lost_Root_thickness,Lost_Shoot_thickness,Lost_Chlorophyll_A,Lost_Chlorophyll_B
IRIS_313-11019,113.3333333,654,10.5,51.16666667,,,,,0.015320606,0.014708293,93,583.6666667,11.33333333,49.16666667,,,,,5.666666667,0.018953131,0.018477613,10.79365079,12.78175896,8.205882355,11.87118644,20.3333333,70.3333333,-0.83333333,2,2.587768435,0.910572516,-0.003632525,-0.00376932
IRIS_313-11047,,,,,0.078451709,0.131735414,0.007442748,0.003567447,,,,,,,0.063409749,0.014665287,0.091272642,0.042169599,,,,,,,,,,,,,,,
IRIS_313-11048,102.3333333,979.3333333,8.833333333,54,0.019964059,0.126802304,0.003568271,0.002945002,0.019289169,0.01832746,99,444.6666667,10.66666667,42,0.055531124,0.011569429,0.180808488,0.028506086,6.333333333,0.014681145,0.013860567,11.58490566,18.13580247,9.281249997,10.58730159,3.3333333,534.6666666,-1.833333337,12,2.30365566,7.54850088,0.004608024,0.004466893
IRIS_313-11049,82,745.6666667,6.666666667,57.73333333,0.030408025,0.170444692,0.005841679,0.006379289,0.015986266,0.015252347,79.33333333,399.6666667,8.833333333,40.33333333,0.071343227,0.013515953,0.158484806,0.036861407,6.666666667,0.013221237,0.0112817,12.3,12.91570439,8.981132075,9.909090911,2.66666667,346,-2.166666666,17.4,3.318867924,3.006613479,0.002765029,0.003970647
IRIS_313-11050,89,868.3333333,8.333333333,53.5,0.021052711,0.029542921,0.004088251,0.196767001,0.018320888,0.017714727,88.33333333,394,9.416666667,43.25,0.048227127,0.00802882,0.146682976,0.028218829,6,0.017123502,0.022436813,10.68,16.23052959,9.380530973,9.10982659,0.66666667,474.3333333,-1.083333334,10.25,1.299469028,7.120703005,0.001197386,-0.004722086
IRIS_313-11052,87,723,7.75,58.25,0.025534489,0.165799579,0.005389552,0.006741608,0.018071466,0.01803052,79,286.3333333,9.083333333,40.33333333,0.067994708,0.007994756,0.192071874,0.033670293,6.666666667,0.012915141,0.012648567,11.22580645,12.41201717,8.697247707,7.099173553,8,436.6666667,-1.333333333,17.91666667,2.528558745,5.312843614,0.005156325,0.005381953
IRIS_313-11053,98.33333333,693,7.666666667,42.91666667,0.047230519,0.068252199,0.009163022,0.003025517,0.017284169,0.017162593,38,141,6.5,21.83333333,0.086935779,0.013772761,0.133259184,0.037808274,8.333333333,0.006738805,0.00700031,12.82608696,16.14757281,5.846153846,6.458015268,60.33333333,552,1.166666667,21.08333334,6.979933109,9.689557546,0.010545364,0.010162283
IRIS_313-11054,122.3333333,710.3333333,8.333333333,51.33333333,0.050402423,0.054434535,0.00712469,0.003940604,0.016699244,0.015936453,66.66666667,248.3333333,7.5,36.75,0.054205234,0.015183671,0.118365996,0.030878043,7.333333333,0.010370662,0.010581433,14.68,13.83766234,8.888888889,6.757369614,55.66666663,462,0.833333333,14.58333333,5.791111107,7.080292724,0.006328582,0.00535502
IRIS_313-11056,110,1103.5,9,58.5,0.018179555,0.145670754,0.003611612,0.002422427,0.02020639,0.02019495,61.66666667,430.6666667,10.33333333,44.83333333,0.052425601,0.009956027,0.13662095,0.037333444,5.333333333,0.01699037,0.016442127,12.22222222,18.86324786,5.967741938,9.605947957,48.33333333,672.8333333,-1.33333333,13.66666667,6.254480284,9.257299906,0.00321602,0.003752823
IRIS_313-11057,115,779.5,7.75,53.5,0.036340442,0.092251951,0.006145171,0.00449647,0.014152894,0.01348148,76,409.3333333,7,37.66666667,0.055468894,0.015863578,0.088640129,0.028531923,5.666666667,0.015415242,0.013593253,14.83870968,14.57009346,10.85714286,10.86725664,39,370.1666667,0.75,15.83333333,3.98156682,3.702836823,-0.001262348,-0.000111773
IRIS_313-11058,98.5,866.5,8,49.25,0.037139064,0.066703828,0.009851439,0.001941657,0.017267862,0.01648421,41.33333333,221.3333333,7.166666667,33.66666667,0.061383311,0.00809024,0.063643947,0.029328576,7.333333333,0.007932047,0.0080497,12.3125,17.59390863,5.76744186,6.574257424,57.16666667,645.1666667,0.833333333,15.58333333,6.54505814,11.01965121,0.009335815,0.00843451
IRIS_313-11059,108.6666667,696,9.833333333,50.5,0.050918243,0.099219621,0.011452691,0.005221107,0.015980652,0.015615947,110,530.3333333,12.75,44.5,0.054906517,0.011703621,0.163946816,0.025399132,5.333333333,0.018698095,0.0167559,11.05084746,13.78217822,8.62745098,11.917603,-1.3333333,165.6666667,-2.916666667,6,2.423396481,1.864575222,-0.002717443,-0.001139953
IRIS_313-11060,23,133,4,20,0.019094341,0.171218878,0.00475988,0.006006132,0.00698542,0.00664984,46,337,9,33,0.090897776,0.00780379,0.149406336,0.028050491,6,0.015760904,0.01524898,5.75,6.65,5.111111111,10.21212121,-23,-204,-5,-13,0.638888889,-3.562121212,-0.008775484,-0.00859914
IRIS_313-11061,62.5,478,7.5,39.5,0.027365674,0.125661183,0.004545846,0.031812833,0.015467372,0.0148975,42.66666667,177,8.25,28.25,0.055003319,0.008906231,0.161621888,0.037794343,8.666666667,0.004613104,0.004992767,8.333333333,12.10126582,5.171717172,6.265486726,19.83333333,301,-0.75,11.25,3.161616161,5.835779097,0.010854268,0.009904733
IRIS_313-11062,47,520.5,7.75,56.25,0.11005089,0.029542921,0.013236732,0.002096494,0.018565498,0.01878095,33,199,9.625,40,0.084361286,0.012118585,0.186460417,0.02636986,8.5,0.003378024,0.00362691,6.064516129,9.253333333,3.428571429,4.975,14,321.5,-1.875,16.25,2.6359447,4.278333333,0.015187474,0.01515404
IRIS_313-11063,93.66666667,741,4.833333333,50.5,0.030456563,0.087606838,0.005834535,0.187476775,0.013084897,0.01223918,47,260,8.666666667,41.66666667,0.079582227,0.022691379,0.142677519,0.03725483,9,0.005775202,0.00586507,19.37931035,14.67326733,5.423076923,6.24,46.66666667,481,-3.833333334,8.83333333,13.95623342,8.433267327,0.007309695,0.00637411
IRIS_313-11064,38,572,7,49.5,,,,,0.0186064,0.01820222,35,192,8.5,41,,,,,9,0.00355286,0.00366428,5.428571429,11.55555556,4.117647059,4.682926829,3,380,-1.5,8.5,1.31092437,6.872628726,0.01505354,0.01453794
IRIS_313-11065,55,342.5,5.25,44.25,0.027299954,0.119348445,0.018802357,0.091174285,0.010480536,0.00988992,76.5,467.5,10.25,47.25,0.05236337,0.016288864,0.134637171,0.029417029,6.5,0.015460555,0.01453491,10.47619048,7.740112994,7.463414634,9.894179894,-21.5,-125,-5,-3,3.012775842,-2.1540669,-0.004980019,-0.00464499
