accession_name,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B,Root thickness,Shoot thickness
IRGC 37837,Control,143.0,1374.0,7.5,52.0,,,,,,0.021679663999999998,0.02300174,19.066666666666666,26.423076923076923
IRGC 37837,Control,61.0,667.0,5.0,45.0,,,,,,0.013338863999999999,0.01271994,12.2,14.822222222222223
IRGC 37837,Stress,65.0,384.0,10.5,32.0,,,,,6.0,0.015543562,0.01491164,6.190476190476191,12.0
IRGC 37837,Stress,42.0,157.0,5.0,35.0,,,,,9.0,0.005947632,0.006261999999999999,8.4,4.485714285714286
IRGC 37837,Stress,88.0,496.0,11.5,43.75,,,,,7.0,9.22e-05,0.00023028,7.6521739130434785,11.337142857142856
IRGC 37845,Control,,,,,,,,,,0.017385756000000002,0.01681448,,
IRGC 37845,Control,80.0,787.0,5.5,53.5,,,,,,,,14.545454545454545,14.710280373831775
IRGC 37967,Control,53.0,583.0,3.5,53.0,,,,,,0.01841793,0.01765278,15.142857142857142,11.0
IRGC 37967,Control,70.0,704.0,5.5,53.0,,,,,,0.012645936000000002,0.0118473,12.727272727272727,13.283018867924529
IRGC 38130,Stress,64.0,250.0,6.0,33.0,,,,,8.0,0.009885452,0.00947178,10.666666666666666,7.575757575757576
IRGC 38320,Stress,54.0,511.0,9.0,42.5,,,,,5.0,0.019355468,0.01884458,6.0,12.023529411764706
IRGC 38344,Control,105.0,947.0,5.5,63.0,,,,,,0.014717502,0.01389558,19.09090909090909,15.031746031746032
IRGC 38344,Stress,55.0,224.0,5.5,43.5,,,,,9.0,0.00779143,0.00765984,10.0,5.149425287356322
IRGC 38456,Control,,,7.5,59.0,,,,,,0.008422604,0.00822948,,
IRGC 38456,Control,90.0,934.0,2.5,11.0,,,,,,,,36.0,84.9090909090909
IRGC 38522,Stress,47.0,626.0,7.5,45.5,,,,,6.0,0.021963572,0.02214526,6.266666666666667,13.758241758241759
IRGC 39559,Control,88.0,617.0,6.5,54.0,,,,,,0.018459634,0.01782246,13.538461538461538,11.425925925925926
IRGC 39559,Control,49.0,547.0,5.5,50.0,,,,,,0.01481294,0.014362200000000002,8.909090909090908,10.94
IRGC 43826,Control,81.0,475.0,8.0,46.0,,,,,,0.018390662,0.01795376,10.125,10.326086956521738
IRGC 43862,Stress,42.0,133.0,4.25,32.0,,,,,8.0,0.0030419859999999996,0.00327038,9.882352941176471,4.15625
IRGC 43872,Stress,108.0,318.0,10.0,39.0,,,,,8.0,0.006471338,0.00717706,10.8,8.153846153846153
IRGC 43915,Control,57.0,562.0,3.0,36.0,,,,,,0.017396182,0.01673166,19.0,15.61111111111111
IRGC 43999,Control,138.0,1050.0,8.0,61.0,,,,,,0.01511369,0.01448542,17.25,17.21311475409836
IRGC 49182,Stress,115.0,335.0,10.0,42.0,,,,,9.0,0.009437936,0.010332299999999999,11.5,7.976190476190476
IRGC 49242,Control,88.0,567.0,7.5,54.0,,,,,,0.012684431999999999,0.01217454,11.733333333333333,10.5
IRGC 49257,Control,,,,,,,,,,0.016979944,0.01612768,,
IRGC 49333,Control,,,4.5,43.0,,,,,,,,,
IRGC 49375,Control,52.0,516.0,7.5,44.5,,,,,,0.018099536,0.01633574,6.933333333333334,11.595505617977528
IRGC 53500,Control,155.0,1127.0,10.0,56.0,,,,,,0.018186953999999998,0.02113122,15.5,20.125
IRGC 53529,Control,71.0,582.0,6.0,45.5,,,,,,0.01964098,0.01927282,11.833333333333334,12.791208791208792
IRGC 53529,Control,48.0,352.0,4.5,49.5,,,,,,0.010242342,0.0097869,10.666666666666666,7.111111111111111
IRGC 53541,Control,,,,,,,,,,0.01625654,0.01561864,,
IRGC 58824,Control,218.0,1695.0,11.0,60.0,,,,,,0.027378676,0.04972836,19.818181818181817,28.25
IRGC 6046,Control,98.0,797.0,9.5,59.5,,,,,,0.020224836,0.01992124,10.31578947368421,13.394957983193278
IRGC 63517,Control,,,,,,,,,,0.012216063999999999,0.01158066,,
IRGC 64778,Control,,,,,,,,,,0.017124304,0.01642058,,
IRGC 6534,Control,58.0,622.0,7.5,53.0,,,,,,0.022112744,0.02198972,7.733333333333333,11.735849056603774
IRGC 6586,Control,108.0,1063.0,6.5,68.0,,,,,,0.022908328,0.02676904,16.615384615384617,15.632352941176471
IRGC 6588,Control,233.0,1876.0,7.5,67.0,,,,,,0.022218607999999997,0.02244826,31.066666666666666,28.0
IRGC 66815,Control,90.0,633.0,10.2,49.9,,,,,,0.01705854,0.01633372,8.823529411764707,12.685370741482966
IRGC 77258,Control,95.0,817.0,5.5,52.0,,,,,,0.022731086,0.02296336,17.272727272727273,15.711538461538462
IRGC 77267,Stress,29.0,133.0,8.0,29.0,,,,,9.0,0.0006424019999999999,0.00068882,3.625,4.586206896551724
IRGC 77279,Control,85.0,905.0,7.5,56.5,,,,,,0.016233281999999998,0.01538432,11.333333333333334,16.01769911504425
IRGC 77279,Stress,77.0,503.0,6.25,39.0,,,,,5.0,0.021146334,0.020705,12.32,12.897435897435898
IRGC 77293,Control,113.0,925.0,5.5,43.0,,,,,,,,20.545454545454547,21.511627906976745
IRGC 77299,Stress,52.0,362.0,8.0,43.5,,,,,7.0,0.014790484,0.01447936,6.5,8.32183908045977
IRGC 82168,Control,,,,,,,,,,0.012982776000000001,0.01247552,,
IRGC 82168,Stress,,,,,,,,,9.0,0.001767608,0.00188668,,
IRGC 83865,Control,49.0,250.0,6.5,35.5,,,,,,0.016947864,0.01646704,7.538461538461538,7.042253521126761
IRGC 8775,Control,41.0,445.0,5.0,43.0,,,,,,0.0249422,0.03221092,8.2,10.348837209302326
IRGC 8775,Control,48.0,313.0,6.0,45.0,,,,,,0.016856436000000002,0.01714576,8.0,6.955555555555556
IRGC 8775,Stress,37.0,261.0,6.0,38.0,,,,,8.0,0.009380994,0.00929402,6.166666666666667,6.868421052631579
IRGC 8775,Stress,24.0,201.0,4.5,30.75,,,,,7.0,0.009385806,0.00927382,5.333333333333333,6.536585365853658
IRGC 8775,Stress,14.0,65.0,3.5,19.0,,,,,9.0,0.000286314,0.00031714,4.0,3.4210526315789473
IRGC 8794,Control,160.0,954.0,10.0,56.0,,,,,,0.02164999,0.02188064,16.0,17.035714285714285
IRGC 8806,Control,58.0,631.0,6.5,47.5,,,,,,0.017781943999999997,0.01695992,8.923076923076923,13.284210526315789
IRGC 8840,Control,94.0,415.0,6.5,47.0,,,,,,0.0167618,0.01631756,14.461538461538462,8.829787234042554
IRGC 28609,Control,109.0,1232.0,5.5,63.0,,,,,,0.019730002,0.01916374,19.818181818181817,19.555555555555557
IRGC 28609,Control,71.0,927.0,7.5,69.0,,,,,,0.01802896,0.01722656,9.466666666666667,13.434782608695652
IRGC 28609,Control,183.0,1730.0,7.0,63.5,,,,,,0.02377529,0.02534696,26.142857142857142,27.244094488188978
IRGC 28609,Stress,112.0,838.0,8.0,55.0,,,,,4.0,0.01417134,0.01349562,14.0,15.236363636363636
IRGC 28609,Stress,78.0,500.0,8.5,44.5,,,,,3.0,0.019612108,0.018745599999999998,9.176470588235293,11.235955056179776
IRGC 28609,Stress,185.0,905.0,8.0,51.5,,,,,4.0,0.01875076,0.01753562,23.125,17.57281553398058
IRGC 28609,Control,115.0,1362.0,7.0,63.5,,,,,,0.020920972,0.02040402,16.428571428571427,21.448818897637796
IRGC 28609,Control,119.0,1087.0,6.5,61.5,,,,,,0.016803504,0.01605294,18.307692307692307,17.67479674796748
IRGC 28609,Control,273.0,1716.0,8.0,65.5,,,,,,0.0143959,0.01354612,34.125,26.198473282442748
IRGC 28609,Stress,,,,,,,,,,,,,
IRGC 28609,Stress,112.0,700.0,8.5,51.5,,,,,5.0,0.015980651999999998,0.01482074,13.176470588235293,13.592233009708737
IRGC 28609,Stress,167.0,824.0,8.5,53.0,,,,,2.0,0.020155061999999998,0.01934554,19.647058823529413,15.547169811320755
