accession_name,Root_weight,Shoot_weight,Root_length,Shoot_length,Root_Na+,Root_K+,Shoot_Na+,Shoot_K+,Chlorophyll_A,Chlorophyll_B,Stress_Root_weight,Stress_Shoot_weight,Stress_Root_length,Stress_Shoot_length,Stress_Root_Na+,Stress_Root_K+,Stress_Shoot_Na+,Stress_Shoot_K+,SES,Stress_Chlorophyll_A,Stress_Chlorophyll_B,Root_thickness,Shoot_thickness,Stress_Root_thickness,Stress_Shoot_thickness,Lost_Root_weight,Lost_Shoot_weight,Lost_Root_length,Lost_Shoot_length,Lost_Root_thickness,Lost_Shoot_thickness,Lost_Chlorophyll_A,Lost_Chlorophyll_B,"pca$x[, 1]"
IRIS_313-11070,43.5,498.0,6.25,38.0,0.033065051,0.071348941,0.003091913,0.002364363,0.0215790129999999,0.02282499,52.0,144.3333333,8.5,31.33333333,0.065651621,0.0137836,0.12826968,0.040636424,8.666666667,0.002712899,0.003093967,6.96,13.1052631578947,6.11764705882352,4.60638297814961,-8.5,353.666666699999,-2.25,6.66666667,0.842352941176471,8.49888017974512,0.0188661139999999,0.019731023,-3.92537095449799
IRIS_313-11111,128.3333333,678.6666667,10.33333333,54.0,0.016422759,0.0652545529999999,0.006255665,0.105769230999999,0.016488585,0.015692033,115.0,504.3333333,10.66666667,43.16666667,0.060175252,0.01375396,0.114091151999999,0.032439124,6.666666667,0.017370251,0.017639987,12.4193548394901,12.5679012351851,10.7812499966308,11.6833976817232,13.3333332999999,174.3333334,-0.333333339999999,10.83333333,1.63810484285925,0.884503553461893,-0.000881665999999999,-0.00194795399999999,1.975454704612246
IRIS_313-11112,115.0,825.6666667,7.5,54.5,0.024702789,0.104651307,0.005095845,0.004830918,0.0143854739999999,0.013706373,81.66666667,486.3333333,8.33333333299999,45.0,0.051566821,0.012188777,0.124410437,0.037672257,5.0,0.016608885,0.014760813,15.3333333333333,15.1498470954128,9.800000000792,10.8074074066666,33.33333333,339.3333334,-0.833333332999998,9.5,5.53333333254133,4.34243968874617,-0.002223411,-0.00105444,0.6553213189966558
IRIS_313-11113,121.333333299999,964.6666667,7.833333333,63.16666667,0.0214178729999999,0.095215533,0.005515658,0.04853679,0.016504358,0.015979547,144.0,630.6666667,9.166666667,46.66666667,0.052210756999999997,0.0120407969999999,0.129018434,0.024634472,5.0,0.019778924,0.02119586,15.4893616985314,15.2717678097481,15.7090909085196,13.5142857140346,-22.6666667,334.0,-1.333333334,16.5,-0.219729209988205,1.75748209571349,-0.00327456599999999,-0.005216313,3.314201456319082
IRIS_313-11114,133.0,1191.333333,7.5,41.16666667,0.0260456999999999,0.13947727,0.004522247,0.050470705,0.020125388,0.019999347,84.33333333,555.0,8.75,42.66666667,0.535911513,0.154362278,0.131101142,0.026931111,6.666666667,0.0169917069999999,0.01546512,17.7333333333333,28.9392712446203,9.63809523771428,13.0078124989837,48.66666667,636.333333,-1.25,-1.5,8.09523809561904,15.9314587456365,0.003133681,0.004534227,0.9324819089875253
IRIS_313-11115,79.66666667,771.0,7.0,58.73333333,0.02333045,0.0613062059999999,0.005158296,0.009373839,0.019803251,0.019441153,82.33333333,606.0,8.5,48.66666667,0.0427944679999999,0.008560281,0.102785248,0.037322361,5.333333333,0.020093843,0.021295513,11.3809523814285,13.1271282640821,9.68627450941176,12.4520547936676,-2.66666666,165.0,-1.5,10.06666666,1.6946778720168,0.67507347041446,-0.000290591999999999,-0.00185435999999999,2.1478333262094726
IRIS_313-11116,138.3333333,911.333333299999,10.16666667,47.66666667,0.022072183,0.084958091,0.035099151,0.012232502,0.01657333,0.016072467,144.3333333,762.6666667,11.83333333,43.66666667,0.102341244,0.01885916,0.125229242,0.031959968,4.333333333,0.01998183,0.01915162,13.6065573693093,19.1188811168448,12.1971830992104,17.4656488543919,-6.0,148.666666599999,-1.66666666,4.0,1.40937427009885,1.65323226245289,-0.00340849999999999,-0.003079153,3.8582980984832913
IRIS_313-11123,126.333333299999,974.0,8.166666667,59.25,0.02248805,0.11147343,0.004910744,0.007283538,0.012373523,0.011874233,74.0,448.666666699999,7.833333333,42.83333333,0.057077663,0.007512697,0.129207429,0.028226267,5.0,0.016254401,0.014142693,15.469387750389,16.4388185654008,9.44680851104029,10.4747081727995,52.3333332999999,525.3333333,0.333333334000001,16.4166666699999,6.02257923934871,5.96411039260125,-0.003880878,-0.00226846,0.0968954445658254
IRIS_313-11124,95.33333333,694.0,7.833333333,49.5,0.042256702,0.124111235,0.008233184,0.022476155,0.018062644,0.017734253,65.66666667,380.0,9.83333333299999,40.0,0.064721393,0.01434411,0.081340633,0.037170435,6.666666667,0.014649599,0.01412384,12.1702127660497,14.020202020202,6.67796610226027,9.5,29.66666666,314.0,-1.99999999999999,9.5,5.49224666378952,4.52020202020202,0.003413045,0.003610413,-0.18172352820747215
IRIS_313-11154,115.0,862.5,8.75,52.0,0.03041888,0.127090301,0.005551611,0.002765391,0.019585241,0.01926171,117.6666667,602.0,10.16666667,43.58333333,0.064964782,0.018650646,0.147349886999999,0.031738584,5.666666667,0.016806311,0.01601254,13.1428571428571,16.5865384615384,11.5737704912872,13.8126195039244,-2.6666667,260.5,-1.41666666999999,8.41666666999999,1.56908665156985,2.77391895761397,0.00277892999999999,0.00324917,2.031506033802462
