uid,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B,Serial no.,Iserial,accession_name
26_2,263.0,645.0,189.0,799.0,Control,113.0,1078.0,8.0,62.0,0.024798788999999998,0.182831661,0.0047725879999999995,0.007980305,,0.016932626,0.0163115,26,2.0,IRGC 26335
26_3,253.0,609.0,181.0,798.0,Control,187.0,1194.0,8.0,59.5,0.024798788999999998,0.173541434,0.008230329,0.058900037,,,,26,3.0,IRGC 26335
26_4,262.0,611.0,181.0,802.0,Control,,,,,,,,,,,,26,,IRGC 26335
26_5,252.0,651.0,176.0,799.0,Control,,,,,,,,,,,,26,,IRGC 26335
27_1,277.0,581.0,179.0,864.0,Control,162.0,1342.0,8.5,62.0,0.028947478,0.154960981,0.005394553000000001,0.00983835,,0.018668154,0.01807092,27,1.0,IRGC 26367
27_2,291.0,571.0,202.0,866.0,Control,128.0,1530.0,8.0,56.0,0.029721208,0.06670382799999999,0.007337522,0.005425492,,0.01793272,0.01681246,27,2.0,IRGC 26367
27_3,290.0,629.0,192.0,865.0,Control,99.0,1318.0,8.5,63.0,0.027533466,0.127090301,0.004514528,0.008444815999999999,,,,27,3.0,IRGC 26367
27_4,290.0,586.0,195.0,860.0,Control,,,,,,,,,,,,27,,IRGC 26367
27_5,270.0,599.0,185.0,863.0,Control,,,,,,,,,,,,27,,IRGC 26367
28_1,249.0,602.0,215.0,813.0,Control,79.0,580.0,6.0,56.5,0.019090351999999998,0.003883315,0.002361789,0.004347826,,0.017591068,0.01699426,28,1.0,IRGC 26373
28_2,267.0,597.0,197.0,817.0,Control,118.0,963.0,8.0,66.5,0.02615057,0.127090301,0.0037446859999999997,0.08528428099999999,,0.016377641999999998,0.01555602,28,2.0,IRGC 26373
28_3,272.0,597.0,205.0,813.0,Control,135.0,796.0,7.5,57.0,0.036359111,0.08992939400000001,0.006902711999999999,0.07051282099999999,,0.0180049,0.02112516,28,3.0,IRGC 26373
28_4,265.0,585.0,180.0,815.0,Control,,,,,,,,,,,,28,,IRGC 26373
28_5,268.0,573.0,179.0,818.0,Control,,,,,,,,,,,,28,,IRGC 26373
29_1,300.0,602.0,212.0,873.0,Control,74.0,950.0,7.0,61.0,0.024767672999999997,0.178186548,0.0036556329999999997,0.006819026,,0.017095432,0.01606708,29,1.0,IRGC 26384
29_2,244.0,550.0,194.0,869.0,Control,60.0,1141.0,9.5,65.0,0.023600114,0.145670754,0.004429449,0.004919175,,0.018429158,0.01739826,29,2.0,IRGC 26384
29_3,290.0,607.0,207.0,873.0,Control,43.0,457.0,7.0,47.0,0.063488771,0.219992568,0.003522855,0.009141583,,0.018342542,0.01779418,29,3.0,IRGC 26384
29_4,273.0,595.0,183.0,866.0,Control,,,,,,,,,,,,29,,IRGC 26384
29_5,297.0,552.0,194.0,867.0,Control,,,,,,,,,,,,29,,IRGC 26384
30_1,275.0,602.0,181.0,810.0,Control,63.0,816.0,7.0,55.2,0.025970793,0.182831661,0.005487584,0.065867707,,0.015631782,0.01510758,30,1.0,IRGC 26390
30_2,266.0,544.0,172.0,808.0,Control,112.0,1075.0,7.0,56.5,0.016488075,0.113154961,0.004556785,0.0061222590000000006,,0.022184923999999998,0.02244422,30,2.0,IRGC 26390
30_3,273.0,605.0,193.0,812.0,Control,94.0,940.0,6.5,54.5,0.023157982,0.164251208,0.006477366,0.004728725,,0.017179642,0.01645694,30,3.0,IRGC 26390
30_4,272.0,571.0,179.0,807.0,Control,,,,,,,,,,,,30,,IRGC 26390
30_5,268.0,587.0,181.0,808.0,Control,,,,,,,,,,,,30,,IRGC 26390
31_1,283.0,533.0,192.0,771.0,Control,86.0,1073.0,5.5,62.0,0.016511782,0.159606094,0.001970318,0.009606094,,0.014649332,0.01383902,31,1.0,IRGC 26399
31_2,302.0,520.0,186.0,767.0,Control,95.0,1166.0,7.5,68.5,0.015589851000000002,0.099219621,0.004137707,0.008677072,,0.020836761999999998,0.02063834,31,2.0,IRGC 26399
31_3,283.0,579.0,190.0,773.0,Control,109.0,1149.0,8.5,61.5,0.015841078,0.23392790800000002,0.002282494,0.003757897,,0.022332492000000002,0.02284216,31,3.0,IRGC 26399
31_4,276.0,541.0,185.0,769.0,Control,,,,,,,,,,,,31,,IRGC 26399
31_5,302.0,540.0,186.0,770.0,Control,,,,,,,,,,,,31,,IRGC 26399
32_1,247.0,637.0,169.0,693.0,Control,209.0,1194.0,8.5,69.0,0.027533466,0.108509848,0.0055177559999999995,0.004960981,,,,32,1.0,IRGC 26411
32_2,223.0,653.0,187.0,696.0,Control,,,,,0.021121437000000003,0.215347454,0.0034658370000000003,0.008909327,,0.021987632000000003,0.02109486,32,2.0,IRGC 26411
32_3,244.0,671.0,170.0,690.0,Control,194.0,1592.0,8.5,67.75,0.017281176000000002,0.0029542920000000003,0.003091913,0.010070606,,0.021253,0.02087064,32,3.0,IRGC 26411
32_4,227.0,653.0,171.0,692.0,Control,,,,,,,,,,,,32,,IRGC 26411
32_5,227.0,600.0,163.0,694.0,Control,,,,,,,,,,,,32,,IRGC 26411
33_1,266.0,538.0,200.0,790.0,Control,87.0,1012.0,9.0,53.0,0.024785454,0.20141211399999998,0.005685562,0.002248235,,0.02083997,0.02069288,33,1.0,IRGC 26439
33_2,280.0,528.0,188.0,791.0,Control,101.0,888.0,11.5,52.0,0.024785454,0.18747677399999998,0.005580839000000001,0.247863248,,0.015894838,0.01530756,33,2.0,IRGC 26439
33_3,256.0,530.0,186.0,789.0,Control,65.0,637.0,8.5,52.0,0.071661688,0.043478261,0.01221295,0.002173913,,0.01709463,0.0148874,33,3.0,IRGC 26439
33_4,254.0,582.0,226.0,787.0,Control,,,,,,,,,,,,33,,IRGC 26439
33_5,265.0,560.0,190.0,787.0,Control,,,,,,,,,,,,33,,IRGC 26439
34_1,281.0,598.0,199.0,788.0,Control,,,,,,,,,,0.013375756,0.01282498,34,1.0,IRGC 26458
34_2,257.0,663.0,188.0,789.0,Control,123.0,1050.0,6.5,58.5,0.020199506000000002,0.159606094,0.006466687,0.084448161,,0.016981548,0.0159176,34,2.0,IRGC 26458
34_3,270.0,658.0,190.0,788.0,Control,116.0,1310.0,8.0,53.0,0.011181937,0.00203,0.003278697,0.0021321070000000003,,,,34,3.0,IRGC 26458
34_4,278.0,644.0,193.0,784.0,Control,,,,,,,,,,,,34,,IRGC 26458
34_5,270.0,588.0,184.0,787.0,Control,,,,,,,,,,,,34,,IRGC 26458
35_1,276.0,539.0,183.0,734.0,Control,86.0,1066.0,9.5,60.0,0.015018253999999998,0.182831661,0.006244797,0.007283538000000001,,0.017795578,0.01689326,35,1.0,IRGC 26478
35_2,267.0,570.0,194.0,736.0,Control,122.0,1030.0,8.0,61.0,,,,,,0.014313293999999999,0.01351582,35,2.0,IRGC 26478
35_3,260.0,564.0,185.0,735.0,Control,61.0,632.0,7.0,52.0,0.016526868,0.247863248,0.0052953869999999995,0.00821256,,0.019596068,0.01877388,35,3.0,IRGC 26478
35_4,254.0,558.0,186.0,736.0,Control,,,,,,,,,,,,35,,IRGC 26478
35_5,270.0,551.0,184.0,738.0,Control,,,,,,,,,,,,35,,IRGC 26478
36_1,257.0,577.0,198.0,762.0,Control,68.0,1130.0,8.5,62.5,0.031380684,0.113154961,0.00413486,0.001086957,,0.020925784,0.02221394,36,1.0,IRGC 26504
36_2,274.0,540.0,176.0,758.0,Control,119.0,1074.0,8.0,67.0,0.028595782,0.219992568,0.0043419570000000005,0.002480491,,0.021229742000000003,0.02129686,36,2.0,IRGC 26504
36_3,286.0,532.0,178.0,761.0,Control,119.0,1148.0,7.0,66.5,,,,,,0.02079586,0.02053532,36,3.0,IRGC 26504
36_4,279.0,549.0,182.0,762.0,Control,,,,,,,,,,,,36,,IRGC 26504
36_5,269.0,557.0,180.0,763.0,Control,,,,,,,,,,,,36,,IRGC 26504
37_1,224.0,621.0,162.0,680.0,Control,90.0,802.0,6.5,53.0,,,,,,0.016317492,0.01558834,37,1.0,IRGC 26578
37_2,221.0,616.0,163.0,685.0,Control,87.0,412.0,6.5,58.0,,,,,,0.016912576000000002,0.016321600000000002,37,2.0,IRGC 26578
37_3,229.0,630.0,175.0,679.0,Control,87.0,721.0,8.75,57.5,0.042997013,0.131735414,0.004726119,0.006354515,,0.017369716,0.0166852,37,3.0,IRGC 26578
37_4,235.0,625.0,165.0,676.0,Control,,,,,,,,,,,,37,,IRGC 26578
37_5,244.0,624.0,167.0,677.0,Control,,,,,,,,,,,,37,,IRGC 26578
38_1,204.0,565.0,157.0,486.0,Control,,,,,0.051671922,0.145670754,0.008052941999999999,0.005657748000000001,,,,38,1.0,IRGC 26624
38_2,191.0,557.0,144.0,480.0,Control,,,,,,,,,,,,38,,IRGC 26624
38_3,196.0,602.0,168.0,481.0,Control,,,,,,,,,,,,38,,IRGC 26624
38_4,194.0,526.0,156.0,476.0,Control,,,,,,,,,,,,38,,IRGC 26624
38_5,196.0,569.0,155.0,478.0,Control,,,,,,,,,,,,38,,IRGC 26624
