accession_name,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,Chlorophyll A,Chlorophyll B,Root thickness,Shoot thickness
IRGC 38149,Control,141,1192,4.5,66,0.017433713,0.108509848,0.004075623,0.182831661,0.022675748,0.02262198,31.33333333,18.06060606
IRGC 26629,Control,41,518,6.5,45.5,0.017433713,0.003418803,0.004189676,0.003177258,0.014638104,0.01370368,6.307692308,11.38461538
IRGC 38293,Control,,,,,0.017349817,0.224637681,0.004849225,0.007515793,0.012726938,0.01216242,,
IRGC 117317,Control,52,553,5,48.5,0.017349817,0.164251208,0.005797497,0.008909327,,,10.4,11.40206186
IRGC 86973,Control,52,1047,7.5,52,0.017349817,0.002025269,0.003329442,0.00143534,0.015925314,0.01487326,6.933333333,20.13461538
IRGC 8855,Control,65,566,7,41,0.017281176,0.003418803,0.00528028,0.004728725,0.015252436,0.01437432,9.285714286,13.80487805
IRGC 26411,Control,194,1592,8.5,67.75,0.017281176,0.002954292,0.003091913,0.010070606,0.021253,0.02087064,22.82352941,23.49815498
IRGC 38145,Control,141,1738,9,69,0.017175573,0.229282795,0.004732469,0.010535117,0.020617816,0.01973944,15.66666667,25.1884058
IRGC 8840,Control,78,648,6.25,47.5,0.017175573,0.003883315,0.003771631,0.010070606,0.020891298,0.01990508,12.48,13.64210526
IRGC 37815,Control,68,1076,7.5,59.5,0.016544972,0.002954292,0.002451548,0.004338536,0.019698724,0.02298962,9.066666667,18.08403361
IRGC 58736,Control,,,,,0.016537313,0.003418803,0.003663885,0.010999628,0.00601099,0.00584992,,
IRGC 26478,Control,61,632,7,52,0.016526868,0.247863248,0.005295387,0.00821256,0.019596068,0.01877388,8.714285714,12.15384615
IRGC 31655,Control,90,787,6.5,52,0.016526868,0.164251208,0.00505015,0.000854701,0.01423951,0.01326534,13.84615385,15.13461538
